"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","n_BDF_VideoSessionID"
1, 923163,"FILLON MAILLET Quentin","FILLON MAILLET Q","Quentin","Fillon Maillet","11",11,  144, 2202,France,FRA, 1, 1,"1","48:47.4","48:47.4",2927400,      0,"0 + 1 + 1 + 0","2",TRUE,FALSE,1
1,1362517,"SMOLSKI Anton","SMOLSKI A","Anton","Smolski","28",28,  103, 4387,Belarus,BLR, 2, 2,"2","+14.8","49:02.2",2942200,  14800,"0 + 0 + 0 + 0","0",TRUE,FALSE,1
1, 980251,"BOE Johannes Thingnes","BOE JT","Johannes Thingnes","Bø","2", 2,  153, 2221,Norway,NOR, 3, 3,"3","+31.1","49:18.5",2958500,  31100,"1 + 0 + 0 + 1","2",TRUE,FALSE,1
1, 918879,"TSVETKOV Maxim","TSVETKOV M","Maxim","Tsvetkov","1", 1,23062,73035,ROC,ROC, 4, 4,"4","+34.9","49:22.3",2962300,  34900,"0 + 0 + 0 + 1","1",TRUE,FALSE,1
1, 720662,"GOW Scott","GOW S","Scott","Gow","9", 9,  159, 2231,Canada,CAN, 5, 5,"5","+1:05.6","49:53.0",2993000,  65600,"0 + 1 + 0 + 0","1",TRUE,FALSE,1
1, 717496,"DOLL Benedikt","DOLL B","Benedikt","Doll","44",44,    2, 2206,Germany,GER, 6, 6,"6","+1:07.1","49:54.5",2994500,  67100,"1 + 0 + 0 + 1","2",TRUE,FALSE,1
1,1017915,"REES Roman","REES R","Roman","Rees","54",54,    2, 2206,Germany,GER, 7, 7,"7","+1:21.6","50:09.0",3009000,  81600,"0 + 0 + 1 + 0","1",TRUE,FALSE,1
1, 708876,"BOE Tarjei","BOE T","Tarjei","Bø","5", 5,  153, 2221,Norway,NOR, 8, 8,"8","+1:29.6","50:17.0",3017000,  89600,"0 + 0 + 0 + 1","1",TRUE,FALSE,1
1,1017663,"CLAUDE Fabien","CLAUDE F","Fabien","Claude","48",48,  144, 2202,France,FRA, 9, 9,"9","+1:38.1","50:25.5",3025500,  98100,"1 + 1 + 0 + 0","2",TRUE,FALSE,1
1, 844397,"LOGINOV Aleksandr","LOGINOV A","Alexander","Loginov","31",31,23062,73035,ROC,ROC,10,10,"10","+1:40.2","50:27.6",3027600, 100200,"0 + 1 + 0 + 2","3",TRUE,FALSE,1
1,1137029,"LATYPOV Eduard","LATYPOV E","Eduard","Latypov","47",47,23062,73035,ROC,ROC,11,11,"11","+2:25.7","51:13.1",3073100, 145700,"0 + 1 + 1 + 1","3",TRUE,FALSE,1
1,1245820,"PONSILUOMA Martin","PONSILUOMA M","Martin","Ponsiluoma","16",16,  154, 2222,Sweden,SWE,12,12,"12","+2:29.4","51:16.8",3076800, 149400,"2 + 0 + 0 + 1","3",TRUE,FALSE,1
1, 823293,"CHRISTIANSEN Vetle Sjaastad","CHRISTIANSEN VS","Vetle Sjåstad","Christiansen","23",23,  153, 2221,Norway,NOR,13,13,"13","+2:33.9","51:21.3",3081300, 153900,"1 + 2 + 0 + 0","3",TRUE,FALSE,1
1, 717512,"WINDISCH Dominik","WINDISCH D","Dominik","Windisch","39",39,    6, 2210,Italy,ITA,14,14,"14","+2:38.2","51:25.6",3085600, 158200,"0 + 0 + 1 + 1","2",TRUE,FALSE,1
1,1338639,"LAEGREID Sturla Holm","LAEGREID SH","Sturla Holm","Lægreid","53",53,  153, 2221,Norway,NOR,15,15,"15","+2:40.7","51:28.1",3088100, 160700,"1 + 1 + 1 + 0","3",TRUE,FALSE,1
1,1245792,"LEITNER Felix","LEITNER F","Felix","Leitner","36",36,  151, 2219,Austria,AUT,16,16,"16","+2:54.3","51:41.7",3101700, 174300,"1 + 0 + 0 + 0","1",TRUE,FALSE,1
